,links,rest_name,rest_location,rest_rating,rest_cuisine,rest_cuisine_2,rest_cuisine_3,rest_no_review,rest_price_cat
0,https://www.tripadvisor.dk/Restaurant_Review-g189541-d14109410-Reviews-Trattoria_L_Alba-Copenhagen_Zealand.html,Trattoria L’Alba,"Holbergsgade 17 Lige Ved Nyhavnsbroen, København 1057 Danmark",4.5,Italiensk,Vegetarvenlig,Veganske retter,214,2.5
1,https://www.tripadvisor.dk/Restaurant_Review-g189541-d19608198-Reviews-Maple_Casual_Dining-Copenhagen_Zealand.html,Maple Casual Dining,"Vesterbrogade 24, København 1620 Danmark",5.0,International,Europæisk,Vegetarvenlig,192,2.5
2,https://www.tripadvisor.dk/Restaurant_Review-g189541-d20912732-Reviews-Keyser_Social-Copenhagen_Zealand.html,Keyser Social,"Frederiksborggade 20d, København 1360 Danmark",5.0,Japansk,Asiatisk,Thai,71,4.0
3,https://www.tripadvisor.dk/Restaurant_Review-g189541-d808246-Reviews-Restaurant_Krebsegaarden-Copenhagen_Zealand.html,Restaurant Krebsegaarden,"Studiestraede 17, København 1455 Danmark",5.0,Europæisk,Skandinavisk,Dansk,1386,4.0
4,https://www.tripadvisor.dk/Restaurant_Review-g189541-d17741168-Reviews-The_Midwestern_Diner-Copenhagen_Zealand.html,The Midwestern Diner,"Gyldenloevesgade 4, København 1369 Danmark",5.0,Amerikansk,Spisested,Vegetarvenlig,196,2.5
5,https://www.tripadvisor.dk/Restaurant_Review-g189541-d8852652-Reviews-Smagsloeget_Vesterbro-Copenhagen_Zealand.html,Smagsløget (Vesterbro),"Vesterbrogade 19 Kobenhavn V, København 1620 Danmark",5.0,Fastfood,International,Fusion,430,1.0
6,https://www.tripadvisor.dk/Restaurant_Review-g189541-d5213122-Reviews-District_Tonkin-Copenhagen_Zealand.html,District Tonkin,"Mikkel Bryggers Gade 2, København 1460 Danmark",4.5,Asiatisk,Vietnamesisk,Vegetarvenlig,196,1.0
7,https://www.tripadvisor.dk/Restaurant_Review-g189541-d9768029-Reviews-The_Olive_Kitchen_Bar-Copenhagen_Zealand.html,The Olive Kitchen & Bar,"Nørregade 22, København 1165 Danmark",5.0,International,Europæisk,Glutenfri retter,2396,2.5
8,https://www.tripadvisor.dk/Restaurant_Review-g189541-d12170406-Reviews-Madbaren_Marmorkirken-Copenhagen_Zealand.html,Madbaren Marmorkirken,"Store Kongensgade 77, København 1264 Danmark",5.0,Pizza,Europæisk,Vegetarvenlig,230,1.0
9,https://www.tripadvisor.dk/Restaurant_Review-g189541-d14098007-Reviews-ARK_by_Souls-Copenhagen_Zealand.html,Souls,"Nørre Farimagsgade 63, København Danmark",5.0,Bar,Europæisk,Moderne,235,2.5
