,Unnamed: 0,links,rest_name,rest_location,rest_rating_aggr,rest_cuisine,rest_cuisine_2,rest_cuisine_3,rest_no_review,rest_price_cat,post1,post2,area,rest1,rest2
0,931,https://www.tripadvisor.dk/Restaurant_Review-g189541-d7018821-Reviews-Lomos_Food_Shop-Copenhagen_Zealand.html,Lomos Food Shop,"Holbergsgade 17, København 1000 Danmark",4.5,Europæisk,Dansk],,48.0,2.5,"Holbergsgade 17, København 1000",1050.0,København K,Europæisk,Europæisk
1,607,https://www.tripadvisor.dk/Restaurant_Review-g189541-d9570698-Reviews-Rossopomodoro_Illum-Copenhagen_Zealand.html,Rossopomodoro Illum,"Ostergade 52 Illum, København 1001 Danmark",3.5,Italiensk,Pizza,Middelhavsområdet,315.0,2.5,"Ostergade 52 Illum, København 1001",1050.0,København K,Italiensk,Italiensk
2,363,https://www.tripadvisor.dk/Restaurant_Review-g189541-d10127436-Reviews-Skagen_Fiskerestaurant_Illum_Rooftop-Copenhagen_Zealand.html,Skagen Fiskerestaurant Illum Rooftop,"Oestergade 52 4. Sal, København 1001 Danmark",4.0,Fisk og skaldyr,Europæisk,Skandinavisk,219.0,2.5,"Oestergade 52 4. Sal, København 1001",1050.0,København K,Fisk og skaldyr,Fisk og skaldyr
3,1276,https://www.tripadvisor.dk/Restaurant_Review-g189541-d7002279-Reviews-The_Bagel_Co-Copenhagen_Zealand.html,The Bagel Co,"Ostergade 52, København 1001 Danmark",4.0,Vegetarvenlig],,,27.0,1.0,"Ostergade 52, København 1001",1001.0,København K,Vegetarvenlig,Moderne
4,1645,https://www.tripadvisor.dk/Restaurant_Review-g189541-d11925181-Reviews-Rio_Temakeria-Copenhagen_Zealand.html,Rio Temakeria,"Østergade 52 Illum rooftop, København 1001 Danmark",4.5,Japansk,Brasiliansk,Fisk og skaldyr,13.0,2.5,"Østergade 52 Illum rooftop, København 1001",1001.0,København K,Japansk,Japansk
5,386,https://www.tripadvisor.dk/Restaurant_Review-g189541-d1061029-Reviews-Trattoria_Fiat-Copenhagen_Zealand.html,Trattoria FIAT,"Kongens Nytorv 18 Kbh K, København 1050 Danmark",4.0,Italiensk,Pizza,Middelhavsområdet,1075.0,2.5,"Kongens Nytorv 18 Kbh K, København 1050",1050.0,København K,Italiensk,Italiensk
6,200,https://www.tripadvisor.dk/Restaurant_Review-g189541-d814122-Reviews-Hviids_Vinstue-Copenhagen_Zealand.html,Hviids Vinstue,"Kongens Nytorv 19, København 1050 Danmark",4.0,Bar,Pub,Skandinavisk,283.0,2.5,"Kongens Nytorv 19, København 1050",1050.0,København K,Bar,Bar
7,415,https://www.tripadvisor.dk/Restaurant_Review-g189541-d6578059-Reviews-Bistro_Royal-Copenhagen_Zealand.html,Bistro Royal,"Kongens Nytorv 26, København 1050 Danmark",4.0,Europæisk,Dansk,Vegetarvenlig,605.0,2.5,"Kongens Nytorv 26, København 1050",1050.0,København K,Europæisk,Europæisk
8,165,https://www.tripadvisor.dk/Restaurant_Review-g189541-d4480724-Reviews-Marchal-Copenhagen_Zealand.html,Marchal,"Kongens Nytorv 34 Copenhagen K, København 1050 Danmark",4.5,Europæisk,Skandinavisk,Dansk,450.0,4.0,"Kongens Nytorv 34 Copenhagen K, København 1050",1050.0,København K,Europæisk,Europæisk
9,1669,https://www.tripadvisor.dk/Restaurant_Review-g189541-d18454402-Reviews-Deco_Bar-Copenhagen_Zealand.html,Deco Bar,"Kongens Nytorv, København 1050 Danmark",5.0,Pub],,,3.0,0.0,"Kongens Nytorv, København 1050",1050.0,København K,Pub,Bar
10,453,https://www.tripadvisor.dk/Restaurant_Review-g189541-d694948-Reviews-Restaurant_D_Angleterre-Copenhagen_Zealand.html,Restaurant D'Angleterre,"Kongens Nytorv 34, København 1050 Danmark",4.5,Fransk,Europæisk,Skandinavisk,126.0,4.0,"Kongens Nytorv 34, København 1050",1050.0,København K,Fransk,Fransk
11,1486,https://www.tripadvisor.dk/Restaurant_Review-g189541-d9695246-Reviews-Meyers_Deli-Copenhagen_Zealand.html,Meyers Deli,"Kongens Nytorv 13 I Magasin du Nord, København 1050 Danmark",3.5,Europæisk,Dansk,Vegetarvenlig,30.0,2.5,"Kongens Nytorv 13 I Magasin du Nord, København 1050",1050.0,København K,Europæisk,Europæisk
12,368,https://www.tripadvisor.dk/Restaurant_Review-g189541-d4744181-Reviews-Ravage_Restaurant_Copenhagen-Copenhagen_Zealand.html,Ravage Restaurant Copenhagen,"Kongens Nytorv 16, København 1050 Danmark",4.0,Europæisk,Dansk,Vegetarvenlig,343.0,2.5,"Kongens Nytorv 16, København 1050",1050.0,København K,Europæisk,Europæisk
13,677,https://www.tripadvisor.dk/Restaurant_Review-g189541-d2209391-Reviews-Geist-Copenhagen_Zealand.html,Geist,"Kongens Nytorv 8, København 1050 Danmark",3.5,Europæisk,Skandinavisk,Dansk,1387.0,4.0,"Kongens Nytorv 8, København 1050",1050.0,København K,Europæisk,Europæisk
14,1425,https://www.tripadvisor.dk/Restaurant_Review-g189541-d1651108-Reviews-Nyhavns_Hereford_House-Copenhagen_Zealand.html,Nyhavns Hereford House,"Nyhavn 41, København 1051 Danmark",3.5,International,Europæisk,Skandinavisk,213.0,2.5,"Nyhavn 41, København 1051",1051.0,København K,International,International
15,650,https://www.tripadvisor.dk/Restaurant_Review-g189541-d2330258-Reviews-Skipperkroen-Copenhagen_Zealand.html,Skipperkroen,"Nyhavn 27, København 1051 Danmark",3.5,Fisk og skaldyr,Europæisk,Skandinavisk,765.0,2.5,"Nyhavn 27, København 1051",1051.0,København K,Fisk og skaldyr,Fisk og skaldyr
16,203,https://www.tripadvisor.dk/Restaurant_Review-g189541-d10187121-Reviews-Restaurant_HUMMER-Copenhagen_Zealand.html,Restaurant HUMMER,"Nyhavn 63 Kld., København 1051 Danmark",4.0,Fisk og skaldyr,Europæisk,Skandinavisk,350.0,4.0,"Nyhavn 63 Kld., København 1051",1051.0,København K,Fisk og skaldyr,Fisk og skaldyr
17,209,https://www.tripadvisor.dk/Restaurant_Review-g189541-d796317-Reviews-Restaurant_Zeleste-Copenhagen_Zealand.html,Restaurant Zeleste,"Store Strandstraede 6, København 1051 Danmark",4.0,Fisk og skaldyr,Europæisk,Skandinavisk,588.0,2.5,"Store Strandstraede 6, København 1051",1051.0,København K,Fisk og skaldyr,Fisk og skaldyr
18,342,https://www.tripadvisor.dk/Restaurant_Review-g189541-d3344375-Reviews-NyhavnsKroen-Copenhagen_Zealand.html,NyhavnsKroen,"Nyhavn 47 1051, København 1051 Danmark",4.0,Dansk,Vegetarvenlig],,321.0,2.5,"Nyhavn 47 1051, København 1051",1051.0,København K,Dansk,Skandinavisk
19,225,https://www.tripadvisor.dk/Restaurant_Review-g189541-d1495437-Reviews-Restaurant_Havfruen-Copenhagen_Zealand.html,Restaurant Havfruen,"Nyhavn 39, København 1051 Danmark",4.0,Fisk og skaldyr,Sund,Skandinavisk,462.0,2.5,"Nyhavn 39, København 1051",1051.0,København K,Fisk og skaldyr,Fisk og skaldyr
20,726,https://www.tripadvisor.dk/Restaurant_Review-g189541-d17796658-Reviews-Restaurant_Nyhavn_41-Copenhagen_Zealand.html,Restaurant Nyhavn 41,"Nyhavn 41, København 1051 Danmark",4.5,Europæisk,Skandinavisk],,26.0,2.5,"Nyhavn 41, København 1051",1051.0,København K,Europæisk,Europæisk
21,233,https://www.tripadvisor.dk/Restaurant_Review-g189541-d2068898-Reviews-Hyttefadet-Copenhagen_Zealand.html,Hyttefadet,"Nyhavn 25 DK-1051, København 1051 Danmark",4.0,Bar,Europæisk,Skandinavisk,571.0,2.5,"Nyhavn 25 DK-1051, København 1051",1051.0,København K,Bar,Bar
22,361,https://www.tripadvisor.dk/Restaurant_Review-g189541-d2436505-Reviews-Restaurant_Gilleleje-Copenhagen_Zealand.html,Restaurant Gilleleje,"Nyhavn 10, København 1051 Danmark",4.5,Europæisk,Skandinavisk,Dansk,104.0,2.5,"Nyhavn 10, København 1051",1051.0,København K,Europæisk,Europæisk
23,1665,https://www.tripadvisor.dk/Restaurant_Review-g189541-d10815210-Reviews-Nyhavnscafeen-Copenhagen_Zealand.html,Nyhavnscafeen,"Nyhavn 33, København 1051 Danmark",3.5,Bar,Pub,Skandinavisk,46.0,2.5,"Nyhavn 33, København 1051",1051.0,København K,Bar,Bar
24,676,https://www.tripadvisor.dk/Restaurant_Review-g189541-d4608181-Reviews-Cafe_Klods_Hans-Copenhagen_Zealand.html,Cafe Klods Hans,"Nyhavn 13, København 1051 Danmark",4.0,Bar,Europæisk,Pub,60.0,2.5,"Nyhavn 13, København 1051",1051.0,København K,Bar,Bar
25,222,https://www.tripadvisor.dk/Restaurant_Review-g189541-d1889629-Reviews-Heering_Restaurant_and_Bistro-Copenhagen_Zealand.html,Heering Restaurant and Bistro,"Nyhavn 15, København 1051 Danmark",4.0,Europæisk,Skandinavisk,Dansk,771.0,2.5,"Nyhavn 15, København 1051",1051.0,København K,Europæisk,Europæisk
26,1506,https://www.tripadvisor.dk/Restaurant_Review-g189541-d2432014-Reviews-Brasserie_Nyhavn_17-Copenhagen_Zealand.html,Nyhavn 17,"Nyhavn 17, København 1051 Danmark",3.5,Bar,Europæisk,Pub,797.0,2.5,"Nyhavn 17, København 1051",1051.0,København K,Bar,Bar
27,59,https://www.tripadvisor.dk/Restaurant_Review-g189541-d1315995-Reviews-Nyhavns_Faergekro-Copenhagen_Zealand.html,Nyhavns Faergekro,"Nyhavn 5, København 1051 Danmark",4.0,Europæisk,Skandinavisk,Dansk,1073.0,2.5,"Nyhavn 5, København 1051",1051.0,København K,Europæisk,Europæisk
28,643,https://www.tripadvisor.dk/Restaurant_Review-g189541-d11737398-Reviews-Sea_by_Kiin_Kiin-Copenhagen_Zealand.html,Sea by Kiin Kiin,"Nyhavn 71, København 1051 Danmark",3.5,Asiatisk,Thai,Moderne,220.0,2.5,"Nyhavn 71, København 1051",1051.0,København K,Asiatisk,Asiatisk
29,1111,https://www.tripadvisor.dk/Restaurant_Review-g189541-d694958-Reviews-Leonore_Christine-Copenhagen_Zealand.html,Leonore Christine,"Nyhavn 9, København 1051 Danmark",3.5,Fisk og skaldyr,Dansk,Glutenfri retter,74.0,2.5,"Nyhavn 9, København 1051",1051.0,København K,Fisk og skaldyr,Fisk og skaldyr
30,392,https://www.tripadvisor.dk/Restaurant_Review-g189541-d2517655-Reviews-Nyhavn_37-Copenhagen_Zealand.html,Nyhavn 37 Café,"Nyhavn 37, København 1051 Danmark",4.0,Fisk og skaldyr,Europæisk,Skandinavisk,299.0,2.5,"Nyhavn 37, København 1051",1051.0,København K,Fisk og skaldyr,Fisk og skaldyr
31,566,https://www.tripadvisor.dk/Restaurant_Review-g189541-d1894672-Reviews-Pizzeria_Venezia_Nyhavn_31-Copenhagen_Zealand.html,pizzeria Venezia Nyhavn 31,"Nyhavn 31, København 1051 Danmark",3.5,Italiensk,Pizza,Europæisk,350.0,2.5,"Nyhavn 31, København 1051",1051.0,København K,Italiensk,Italiensk
32,515,https://www.tripadvisor.dk/Restaurant_Review-g189541-d3303424-Reviews-McJoy_s_Choice-Copenhagen_Zealand.html,McJoy's Choice,"Nyhavn 47, København 1051 Danmark",3.5,Dansk,Vegetarvenlig],,333.0,2.5,"Nyhavn 47, København 1051",1051.0,København K,Dansk,Skandinavisk
33,139,https://www.tripadvisor.dk/Restaurant_Review-g189541-d10520577-Reviews-Kompasset-Copenhagen_Zealand.html,Kompasset,"Nyhavn 65, København 1051 Danmark",4.5,Europæisk,Skandinavisk,Dansk,304.0,2.5,"Nyhavn 65, København 1051",1051.0,København K,Europæisk,Europæisk
34,503,https://www.tripadvisor.dk/Restaurant_Review-g189541-d4178539-Reviews-Gorm_s_Nyhavn-Copenhagen_Zealand.html,Gorm's Nyhavn,"Nyhavn 14, København 1051 Danmark",3.5,Italiensk,Pizza,Europæisk,332.0,2.5,"Nyhavn 14, København 1051",1051.0,København K,Italiensk,Italiensk
35,601,https://www.tripadvisor.dk/Restaurant_Review-g189541-d2201940-Reviews-Restaurant_Galionen-Copenhagen_Zealand.html,Restaurant Galionen,"Nyhavn 23, København K 1051 Danmark",3.5,Fisk og skaldyr,Europæisk,Skandinavisk,332.0,2.5,"Nyhavn 23, København K 1051",1051.0,København K,Fisk og skaldyr,Fisk og skaldyr
36,1293,https://www.tripadvisor.dk/Restaurant_Review-g189541-d5555968-Reviews-Restaurant_Fyrtoejet-Copenhagen_Zealand.html,Restaurant Fyrtøjet,"Nyhavn 11, København 1051 Danmark",3.5,Europæisk,Skandinavisk,Dansk,318.0,2.5,"Nyhavn 11, København 1051",1051.0,København K,Europæisk,Europæisk
37,403,https://www.tripadvisor.dk/Restaurant_Review-g189541-d2138322-Reviews-Karma_Sushi_Nyhavn-Copenhagen_Zealand.html,Karma Sushi Nyhavn,"Nyhavn 63B, København 1051 Danmark",4.0,Japansk,Sushi,Asiatisk,306.0,2.5,"Nyhavn 63B, København 1051",1051.0,København K,Japansk,Japansk
